"REF_DATE","GEO","DGUID","Level of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008/2009","Quebec","2016A000224","Canadian graduate","Dollars","81","units ","0","v96320873","6.2","2219","","","","0"
"2008/2009","Quebec","2016A000224","International undergraduate","Dollars","81","units ","0","v96320874","6.3","13196","","","","0"
"2008/2009","Quebec","2016A000224","International graduate","Dollars","81","units ","0","v96320875","6.4","11346","","","","0"
"2008/2009","Ontario","2016A000235","Canadian undergraduate","Dollars","81","units ","0","v96320876","7.1","5667","","","","0"
"2008/2009","Ontario","2016A000235","Canadian graduate","Dollars","81","units ","0","v96320877","7.2","8256","","","","0"
"2008/2009","Ontario","2016A000235","International undergraduate","Dollars","81","units ","0","v96320878","7.3","16891","","","","0"
"2008/2009","Ontario","2016A000235","International graduate","Dollars","81","units ","0","v96320879","7.4","15283","","","","0"
"2008/2009","Manitoba","2016A000246","Canadian undergraduate","Dollars","81","units ","0","v96320880","8.1","3238","","","","0"
"2008/2009","Manitoba","2016A000246","Canadian graduate","Dollars","81","units ","0","v96320881","8.2","3805","","","","0"
"2008/2009","Manitoba","2016A000246","International undergraduate","Dollars","81","units ","0","v96320882","8.3","9690","","","","0"
"2008/2009","Manitoba","2016A000246","International graduate","Dollars","81","units ","0","v96320883","8.4","7973","","","","0"
"2008/2009","Saskatchewan","2016A000247","Canadian undergraduate","Dollars","81","units ","0","v96320884","9.1","5064","","","","0"
"2008/2009","Saskatchewan","2016A000247","Canadian graduate","Dollars","81","units ","0","v96320885","9.2","2762","","","","0"
"2008/2009","Saskatchewan","2016A000247","International undergraduate","Dollars","81","units ","0","v96320886","9.3","10465","","","","0"
"2008/2009","Saskatchewan","2016A000247","International graduate","Dollars","81","units ","0","v96320887","9.4","2513","","","","0"
"2008/2009","Alberta","2016A000248","Canadian undergraduate","Dollars","81","units ","0","v96320888","10.1","5308","","","","0"
"2008/2009","Alberta","2016A000248","Canadian graduate","Dollars","81","units ","0","v96320889","10.2","4948","","","","0"
"2008/2009","Alberta","2016A000248","International undergraduate","Dollars","81","units ","0","v96320890","10.3","14399","","","","0"
"2008/2009","Alberta","2016A000248","International graduate","Dollars","81","units ","0","v96320891","10.4","9324","","","","0"
"2008/2009","British Columbia","2016A000259","Canadian undergraduate","Dollars","81","units ","0","v96320892","11.1","4746","","","","0"
"2008/2009","British Columbia","2016A000259","Canadian graduate","Dollars","81","units ","0","v96320893","11.2","7241","","","","0"
"2008/2009","British Columbia","2016A000259","International undergraduate","Dollars","81","units ","0","v96320894","11.3","15378","","","","0"
"2008/2009","British Columbia","2016A000259","International graduate","Dollars","81","units ","0","v96320895","11.4","13876","","","","0"
"2009/2010","Canada","2016A000011124","Canadian undergraduate","Dollars","81","units ","0","v96320852","1.1","4942","","","","0"
"2009/2010","Canada","2016A000011124","Canadian graduate","Dollars","81","units ","0","v96320853","1.2","4860","","","","0"
"2009/2010","Canada","2016A000011124","International undergraduate","Dollars","81","units ","0","v96320854","1.3","15943","","","","0"
"2009/2010","Canada","2016A000011124","International graduate","Dollars","81","units ","0","v96320855","1.4","11678","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Canadian undergraduate","Dollars","81","units ","0","v96320856","2.1","2624","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Canadian graduate","Dollars","81","units ","0","v96320857","2.2","2458","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","International undergraduate","Dollars","81","units ","0","v96320858","2.3","10314","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","International graduate","Dollars","81","units ","0","v96320859","2.4","2790","","","","0"
"2009/2010","Prince Edward Island","2016A000211","Canadian undergraduate","Dollars","81","units ","0","v96320860","3.1","4969","","","","0"
"2009/2010","Prince Edward Island","2016A000211","Canadian graduate","Dollars","81","units ","0","v96320861","3.2","4091","","","","0"
"2009/2010","Prince Edward Island","2016A000211","International undergraduate","Dollars","81","units ","0","v96320862","3.3","22846","","","","0"
"2009/2010","Prince Edward Island","2016A000211","International graduate","Dollars","81","units ","0","v96320863","3.4","7913","","","","0"
"2009/2010","Nova Scotia","2016A000212","Canadian undergraduate","Dollars","81","units ","0","v96320864","4.1","5752","","","","0"
"2009/2010","Nova Scotia","2016A000212","Canadian graduate","Dollars","81","units ","0","v96320865","4.2","7701","","","","0"
"2009/2010","Nova Scotia","2016A000212","International undergraduate","Dollars","81","units ","0","v96320866","4.3","12434","","","","0"
"2009/2010","Nova Scotia","2016A000212","International graduate","Dollars","81","units ","0","v96320867","4.4","14580","","","","0"
"2009/2010","New Brunswick","2016A000213","Canadian undergraduate","Dollars","81","units ","0","v96320868","5.1","5516","","","","0"
"2009/2010","New Brunswick","2016A000213","Canadian graduate","Dollars","81","units ","0","v96320869","5.2","5074","","","","0"
